Hall,Housing_Name,Source_URL,Room_Type,Price_Per_Semester,Type of Hall,Security,Cable,Eligibility,Meal Plan,WI-FI,Proximity,Communal Lobby,Smoke & Tobacco Free,Bathroom,Free Laundry,Elevator
Briles Hall,Briles Hall,https://www.ecok.edu/housing/housing-options/briles-hall.php,Single - Private,"$2,545.00","Co-Ed, Single, Double and Triple Occupancy","I.D. card access, Resident Assistant on-call, Residence Director on-call, ECU PD patrol",Not Available,"Undergraduate students, Enrolled in 12+ credit hours",Required,Not Available,"University Center, Bookstore, Taff Cafeteria, Kerr Stadium",Not Available,Not Available,Suite-style,"Available on 1st, 3rd, 4th, and 5th floors",
Briles Hall,Briles Hall,https://www.ecok.edu/housing/housing-options/briles-hall.php,Double,"$1,730.00","Co-Ed, Single, Double and Triple Occupancy","I.D. card access, Resident Assistant on-call, Residence Director on-call, ECU PD patrol",Not Available,"Undergraduate students, Enrolled in 12+ credit hours",Required,Not Available,"University Center, Bookstore, Taff Cafeteria, Kerr Stadium",Not Available,Not Available,Suite-style,"Available on 1st, 3rd, 4th, and 5th floors",
Chokka Chaffa',Chokka-Chaffa’ Hall,https://www.ecok.edu/housing/housing-options/chokka-chaffa-hall.php,Double,"$2,390.00","Co-Ed, Double Occupancy","I.D. card access, Resident Assistant on-call, Residence Director on-call, ECU PD patrol",Not Available,"Undergraduate students, Enrolled in 12+ credit hours",Required,Not Available,University Center Bookstore,Not Available,Not Available,En-Room,Available on 2nd and 3rd floors,Not Available
Pesagi,Pesagi Hall,https://www.ecok.edu/housing/housing-options/pesagi-hall.php,Double,"$1,375.00","Co-Ed, Single and Double Occupancy","I.D. card access, Resident Assistant on-call, Residence Director on-call, ECU PD patrol",Not Available,"Undergraduate students, Enrolled in 12+ credit hours",Required,Not Available,Linsheid Library,Not Available,Not Available,Suite-style,Available on 1st floor,
Pontotoc,Pontotoc Hall,https://www.ecok.edu/housing/housing-options/pontotoc-hall.php,Single,"$2,225.00","Co-Ed, Single and Double Occupancy","I.D. card access, Resident Assistant on-call, Residence Director on-call, ECU PD patrol",Not Available,"Undergraduate students, Enrolled in 12+ credit hours",Required,Not Available,"Taff Dining Hall, Linscheid Library, Koi Ishto Stadium",Not Available,Not Available,Suite-style,Available on first floor of every wing,
Pontotoc,Pontotoc Hall,https://www.ecok.edu/housing/housing-options/pontotoc-hall.php,Single - Private,"$2,450.00","Co-Ed, Single and Double Occupancy","I.D. card access, Resident Assistant on-call, Residence Director on-call, ECU PD patrol",Not Available,"Undergraduate students, Enrolled in 12+ credit hours",Required,Not Available,"Taff Dining Hall, Linscheid Library, Koi Ishto Stadium",Not Available,Not Available,Suite-style,Available on first floor of every wing,
Pontotoc,Pontotoc Hall,https://www.ecok.edu/housing/housing-options/pontotoc-hall.php,Double,"$1,625.00","Co-Ed, Single and Double Occupancy","I.D. card access, Resident Assistant on-call, Residence Director on-call, ECU PD patrol",Not Available,"Undergraduate students, Enrolled in 12+ credit hours",Required,Not Available,"Taff Dining Hall, Linscheid Library, Koi Ishto Stadium",Not Available,Not Available,Suite-style,Available on first floor of every wing,
Stadium Apartments,Stadium Apartments,https://www.ecok.edu/housing/housing-options/stadium-apartments.php,1 Bedroom,"$3,475.00","Apartments, Two Bedroom","Resident Assistant on-call, Residence Director on-call, ECU PD patrol",,Upperclassmen,Flex meal plan required,Not Available,Koi Ishto Stadium,Not Available,Not Available,One bathroom in each apartment,Laundy Room On-Site,Not Available
Stadium Apartments,Stadium Apartments,https://www.ecok.edu/housing/housing-options/stadium-apartments.php,2 Bedroom,"$3,100.00","Apartments, Two Bedroom","Resident Assistant on-call, Residence Director on-call, ECU PD patrol",,Upperclassmen,Flex meal plan required,Not Available,Koi Ishto Stadium,Not Available,Not Available,One bathroom in each apartment,Laundy Room On-Site,Not Available
Tiger Commons,Tiger Commons,https://www.ecok.edu/housing/housing-options/tiger-commons.php,2 Bedroom Suite,"$3,225.00","Co-Ed, Two Bedroom, Four Bedroom","Resident Assistant on-call, Residence Director on-call, ECU PD patrol",,Upperclassmen,Flex Meal Plan required,Not Available,Linscheid Library,Located in Pesagi Hall,Not Available,"Two Bathroom, One Bathroom",Located on first floor of Pesagi Hall.,Not Available
Tiger Commons,Tiger Commons,https://www.ecok.edu/housing/housing-options/tiger-commons.php,4 Bedroom Suite,"$2,960.00","Co-Ed, Two Bedroom, Four Bedroom","Resident Assistant on-call, Residence Director on-call, ECU PD patrol",,Upperclassmen,Flex Meal Plan required,Not Available,Linscheid Library,Located in Pesagi Hall,Not Available,"Two Bathroom, One Bathroom",Located on first floor of Pesagi Hall.,Not Available
